Classification	RDP	UTAX	SINTAX	Consensus
Stemphylium sp	6	0	0	6
Sterellum rufum	3	0	0	3
Stereum complicatum	8	0	0	8
Stereum hirsutum	8	0	0	8
Stereum ostrea	2	0	0	2
Stereum sanguinolentum	4	0	0	4
Sterigmatomyces halophilus	1	0	0	1
Strelitziana africana	1	0	0	1
Strelitziana albiziae	5	0	0	5
Striaticonidium cinctum	2	0	0	2
Strickeria kochii	2	0	0	2
Stypella grilletii	1	0	0	1
Suhomyces vadensis	2	0	0	2
Suillus americanus	1	0	0	1
Suillus granulatus	1	0	0	1
Suillus grevillei	1	0	0	1
Suillus luteus	1	0	0	1
Suillus viscidus	1	0	0	1
Suttonomyces rosae	1	0	0	0
Symmetrospora coprosmae	6	0	0	6
Symmetrospora foliicola	1	0	0	1
Symmetrospora gracilis	5	0	0	5
Symmetrospora sp	2	0	0	2
Talaromyces wortmannii	1	0	0	1
Taphrina caerulescens	7	0	0	7
Taphrina communis	4	0	0	4
Taphrina confusa	2	0	0	2
Taphrina flavorubra	1	0	0	1
Taphrina inositophila	6	0	0	6
Taphrina letifera	1	0	0	1
Taphrina populina	2	0	0	2
Taphrina robinsoniana	1	0	0	1
Taphrina sp	4	0	0	4
Taphrina tormentillae	1	0	0	1
Tapinella atrotomentosa	1	0	0	1
Teichospora kingiae	7	0	0	7
Teichospora quercus	3	0	0	3
Teichospora sp	1	0	0	1
Terana coerulea	2	0	0	2
Tetraplosphaeria sp	1	0	0	1
Thanatephorus cucumeris	9	0	0	9
Thecaphora schwarzmaniana	1	0	0	1
Thermomyces lanuginosus	0	0	4	4
Therrya fuckelii	5	0	0	5
Thielavia sp	0	0	1	1
Tiarosporella dactylis	6	0	0	6
Tilletia maclaganii	41	0	0	41
Tilletia puccinelliae	1	0	0	1
Tilletia sp	5	0	0	5
Tilletiopsis lilacina	2	0	0	2
Tilletiopsis washingtonensis	18	0	0	18
Tomentella sp	3	0	0	3
Trametes cinnabarina	1	0	0	1
Trametes cubensis	3	0	0	3
Trametes trogii	1	0	0	1
Trametes versicolor	3	0	0	3
Tranzscheliella hypodytes	1	0	0	1
Trebouxia arboricola	1	0	0	1
Trebouxia decolorans	2	0	0	2
Trebouxia simplex	3	0	0	3
Trebouxia sp	18	0	0	18
Trechispora bispora	2	0	0	2
Trechispora byssinella	1	0	0	1
Trechispora cyatheae	2	0	0	2
Trechispora invisitata	1	0	0	1
Trechispora microspora	1	0	0	1
Trechispora sp	4	0	0	4
Trechispora stevensonii	2	0	0	2
Tremella indecorata	1	0	0	1
Tremella moriformis	1	0	0	1
Trichaptum biforme	5	0	0	5
Trichaptum fuscoviolaceum	1	0	0	1
Tricharina praecox	1	0	0	1
Tricholoma batschii	1	0	0	1
Tricholoma fulvum	1	0	0	1
Tricholoma populinum	5	0	0	5
Tricholoma terreum	1	0	0	1
Tricholomopsis sp	5	0	0	5
Trichomerium dioscoreae	2	0	0	2
Trichopeziza mollissima	4	0	0	4
Trichosporon asahii	4	0	0	4
Tricladium angustum	12	0	0	12
Tubaria praestans	6	0	0	6
Tubaria sp	1	0	0	1
Tubulicrinis angustus	6	0	0	6
Tubulicrinis subulatus	3	0	0	3
Tulostoma sp	1	0	0	1
Tulostoma striatum	1	0	0	1
Typhula erythropus	1	0	0	1
Typhula incarnata	6	0	0	6
Typhula sp	1	0	0	1
Typhula spathulata	2	0	0	2
Typhula variabilis	2	0	0	2
Tyromyces chioneus	12	0	0	12
Tyromyces galactinus	2	0	0	2
Udeniomyces megalosporus	1	0	0	1
Udeniomyces puniceus	2	0	0	2
Udeniomyces pyricola	4	0	0	4
Udeniozyma ferulica	1	0	0	1
Uncobasidium sp	1	0	0	1
Unidentified	13567	18466	18428	13603
Urnula craterium	6	0	0	6
Urocystis tritici	3	0	0	3
Ustilaginoidea virens	4	0	0	0
Ustilago hordei	5	0	0	5
Ustilago nunavutica	6	0	0	6
Ustilago scrobiculata	3	0	0	3
Ustilago sp	4	0	0	4
Ustilago sporoboli-indici	1	0	0	1
Ustilentyloma graminis	14	0	0	14
Uwebraunia dekkeri	6	0	0	6
Valsa cypri	3	0	0	3
Vararia gallica	6	0	0	6
Vararia investiens	2	0	0	2
Vararia ochroleuca	1	0	0	1
Vargamyces sp	1	0	0	1
Veluticeps abietina	1	0	0	1
Venturia inaequalis	2	0	0	2
Vermispora fusarina	1	0	0	1
Vishniacozyma dimennae	26	0	0	26
Vishniacozyma globispora	27	0	0	27
Vishniacozyma heimaeyensis	3	0	0	3
Vishniacozyma sp	27	0	0	27
Vishniacozyma tephrensis	6	0	0	6
Vishniacozyma victoriae	7	0	0	7
Wallemia canadensis	14	0	0	14
Wallemia ichthyophaga	2	0	0	2
Wallemia sebi	8	0	0	8
Wickerhamomyces anomalus	1	0	0	1
Wrightoporia austrosinensis	1	0	0	1
Wrightoporia cylindrospora	2	0	0	2
Xanthoria fallax	1	0	0	1
Xenasmatella ardosiaca	8	0	0	8
Xenasmatella vaga	5	0	0	5
Xenomeris sp	7	0	0	7
Xenopenidiella sp	2	0	0	2
Xeromphalina campanelloides	1	0	0	1
Xylaria cornu-damae	1	0	0	1
Xylaria persicaria	2	0	0	2
Xylobolus subpileatus	4	0	0	4
Xylodon borealis	1	0	0	1
Xylodon erastii	16	0	0	16
Xylodon flaviporus	5	0	0	5
Xylodon nespori	3	0	0	3
Xylodon radula	36	0	0	31
Xylodon raduloides	5	0	0	5
Xylodon rimosissimus	6	0	0	6
Xylodon sambuci	6	0	0	6
Xylodon sp	3	0	0	3
Yurkovia mendeliana	1	0	0	1
Zygophiala cryptogama	4	0	0	4
Zygophiala wisconsinensis	3	0	0	3
Zymoseptoria brevis	1	0	0	1
